year,Base case cost,Modeled non-residential ashp
2017,363839.56276,453844.745449
2018,383832.675943,471591.483686
2019,411023.309872,495727.047687
2020,423818.902309,507084.960158
2021,432615.872109,514893.524982
2022,439813.392855,521282.350747
2023,443812.015491,524831.698395
2024,447810.638128,528381.046042
2025,452608.985292,532640.263219
2026,458207.056983,537609.349925
2027,462205.67962,541158.697572
2028,466204.302256,544708.045219
2029,471802.373947,549677.131925
2030,474201.547529,551806.740514
2031,480599.343748,557485.696749
