year,Base case cost,Modeled residential ashp
2017,113645.309665,162040.230092
2018,121821.544647,170971.797617
2019,132932.838341,183109.568868
2020,137964.367561,188605.918114
2021,141528.367425,192499.165496
2022,144253.779085,195476.354671
2023,132407.927901,183804.810997
2024,133737.555108,185270.010711
2025,135257.129058,186944.52467
2026,137346.54324,189246.981364
2027,138866.11719,190921.495323
2028,140385.691141,192596.009282
2029,142095.211835,194479.837486
2030,143234.892298,195735.722955
2031,145324.30648,198038.179649
