year,Base case cost,Modeled transmission and interties
2021,293790.349201,2468428.18867
2022,304545.329911,2479964.81948
2023,311195.101939,2487494.55152
2024,318327.750652,2495063.92046
2025,325022.934281,2502643.60277
2026,333816.13385,2512570.77393
2027,342088.613735,2521410.34316
2028,348311.516718,2528548.24545
2029,357711.718015,2538644.46526
2030,362429.983303,2544608.0848
2031,371902.84316,2554783.01942
2032,382480.718628,2566190.92123
2033,392053.484005,2577073.5699
2034,402163.619989,2587868.01012
2035,408631.745615,2595275.12721
2036,419398.836085,2606885.27053
2037,426405.846036,2614201.56704
2038,436641.620781,2625128.83507
2039,445389.40875,2634470.95104
2040,456765.014666,2646669.28054
