year,Base case cost,Modeled transmission and interties
2021,1901628.28509,2692364.02659
2022,1955333.73539,2748575.24624
2023,1989754.55003,2787003.33035
2024,2024196.59991,2820658.20121
2025,2058659.88503,2856733.01187
2026,2102152.6995,2902247.07393
2027,2141484.92284,2943417.09764
2028,2176005.84649,2977151.49557
2029,2215385.09073,3020771.45529
2030,2240272.79736,3046825.68027
2031,2288658.8189,3095058.11609
2032,2332937.33742,3141403.55179
2033,2382084.79416,3190440.45845
2034,2431262.58696,3241912.10003
2035,2461092.03836,3273136.22207
2036,2510324.43608,3324665.00623
2037,2540196.35796,3355933.57249
2038,2589483.3606,3407519.49923
2039,2629099.22613,3448984.84078
2040,2683296.12067,3503299.82404
