year,Base case cost,Modeled residential ashp
2017,45620.220756,100396.217123
2018,49834.163195,93618.2003076
2019,55341.1131817,85802.8214218
2020,58895.8564625,80791.9508635
2021,62085.440121,76502.8978174
2022,63952.6555868,71975.8972676
2023,66528.8447087,68750.845341
2024,68084.1796086,64851.0009539
2025,70600.1786106,62011.0270834
2026,73549.0017896,58967.3348135
2027,76144.4780218,56398.3301064
2028,78774.5095714,53956.2736549
2029,82711.9227922,52422.877518
2030,85278.3086902,50339.9907993
2031,88327.6239755,48092.6574927
