year,Base case cost,Modeled residential ashp
2017,920441.434551,3149284.95809
2018,983861.978757,2981404.73898
2019,1067778.12865,2788141.96507
2020,1114018.59707,2656114.01402
2021,1151412.50061,2538990.17731
2022,1182782.502,2434174.76752
2023,1206886.08614,2340372.81043
2024,1232248.90192,2249964.82366
2025,1256844.69548,2160874.52585
2026,1286276.15371,2067926.48772
2027,1310353.81585,1982342.04603
2028,1335712.99836,1899980.65837
2029,1365820.87972,1818899.37934
2030,1390387.36818,1744857.55666
2031,1421341.88954,1662918.08087
