year,Base case cost,Modeled transmission and interties
2021,321568.031074,1745344.58445
2022,327832.829202,1752194.76072
2023,332707.666811,1757079.9267
2024,336363.795018,1760743.80118
2025,340629.277926,1765568.03169
2026,346585.65778,1772066.59694
2027,351467.145918,1776958.42754
2028,355128.262021,1781177.76071
2029,361111.243991,1787154.0241
2030,364661.795053,1790692.70297
2031,370671.379138,1797248.3349
2032,376185.498828,1803326.84747
2033,381699.618518,1809405.36005
2034,386688.346432,1814973.76269
2035,390359.438329,1819204.59269
2036,397016.617656,1825860.23159
2037,400692.697449,1830096.81
2038,406757.979713,1836713.50774
2039,411609.540471,1842115.41233
2040,418367.309046,1848887.49867
