year,Base case cost,Modeled residential ashp
2017,44437.7416395,76689.0118811
2018,49518.8716395,77896.1044507
2019,56670.0916395,79991.4113193
2020,57708.6977511,78175.4970274
2021,60059.4877511,78229.1476686
2022,61686.9577511,78025.3932897
2023,62952.7677511,77685.3539053
2024,61431.3338626,74686.1909808
2025,62472.1538626,74280.1587488
2026,63859.9138626,74017.2481757
2027,62316.9812974,70944.5997918
2028,63147.5812974,70491.847675
2029,61619.887409,67361.4758604
2030,62413.687409,66894.9124186
2031,63683.767409,66601.9266494
