year,Base case cost,Modeled non-residential ashp
2017,44437.7416395,48967.0964324
2018,49518.8716395,53405.9848506
2019,56670.0916395,59688.7912575
2020,57708.6977511,60273.2602597
2021,60059.4877511,62272.3531467
2022,61686.9577511,63635.3524238
2023,62952.7677511,64675.9779351
2024,61431.3338626,62951.6782353
2025,62472.1538626,63794.9846057
2026,63859.9138626,64944.4023283
2027,62316.9812974,63183.5606249
2028,63147.5812974,63842.3465757
2029,61619.887409,62079.6958127
2030,62413.687409,62701.4769861
2031,63683.767409,63741.5862549
