year,Base case cost,"Eek, alaska heat recovery study"
2019,452320.001917,453037.437945
2020,471126.850204,470656.675816
2021,485678.878491,484232.990807
2022,497682.286777,495392.304079
2023,507067.444912,504064.713175
2024,511657.89552,507993.494798
2025,521175.483959,516820.234621
2026,536704.220228,531588.68904
2027,546449.728667,540664.234731
2028,555325.686953,548920.307525
2029,566191.505392,559096.081534
2030,574266.613831,566610.755963
2031,590563.7901,582196.883392
2032,602749.298539,593680.508198
2033,614056.896978,604335.173402
2034,627462.555416,617016.63923
2035,636977.884007,625976.310972
2036,649591.992294,637923.098118
2037,659264.980732,647056.905756
2038,672098.729323,659239.423095
