year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation solar [kWh/year],generation diesel [kWh/year]
2013,,3866.14,539576.0,0.0,539576.0
2014,start of forecast,3866.14,540000.0,4620.0,535380.0
2015,,3866.14,541000.0,4620.0,536380.0
2016,,3866.14,541000.0,4620.0,536380.0
2017,,3866.14,542000.0,4620.0,537380.0
2018,,3866.14,543000.0,4620.0,538380.0
2019,,3866.14,543000.0,4620.0,538380.0
2020,,3866.14,544000.0,4620.0,539380.0
2021,,3866.14,545000.0,4620.0,540380.0
2022,,3866.14,545000.0,4620.0,540380.0
2023,,3866.14,546000.0,4620.0,541380.0
2024,,3866.14,546000.0,4620.0,541380.0
2025,,3866.14,547000.0,4620.0,542380.0
2026,,3866.14,547000.0,4620.0,542380.0
2027,,3866.14,548000.0,4620.0,543380.0
2028,,3866.14,549000.0,4620.0,544380.0
2029,,3866.14,550000.0,4620.0,545380.0
2030,,3866.14,550000.0,4620.0,545380.0
2031,,3866.14,551000.0,4620.0,546380.0
2032,,3866.14,552000.0,4620.0,547380.0
2033,,3866.14,553000.0,4620.0,548380.0
2034,,3866.14,553000.0,4620.0,548380.0
2035,,3866.14,554000.0,4620.0,549380.0
2036,,3866.14,554000.0,4620.0,549380.0
2037,,3866.14,555000.0,4620.0,550380.0
2038,,3866.14,555000.0,4620.0,550380.0
2039,,3866.14,556000.0,4620.0,551380.0
2040,,3866.14,556000.0,4620.0,551380.0
