year,Base case cost,Modeled non-residential ashp
2017,172797.64552,272700.819681
2018,196596.012549,295810.272466
2019,229500.062081,327749.842057
2020,243367.135319,341157.639132
2021,257852.171162,355321.181661
2022,269825.60521,367064.977628
2023,279862.975343,376941.601104
2024,289337.898241,386278.741153
2025,294557.911869,391338.008124
2026,306557.977603,403131.399585
2027,317249.87987,413662.555195
2028,327340.062973,423614.95545
2029,339183.491395,435274.673407
2030,342375.806608,438375.133387
2031,355292.21733,451084.869836
