year,Base case cost,Modeled residential ashp
2017,68259.799614,361663.716483
2018,73407.0887905,347055.726819
2019,81359.7042607,330146.591123
2020,85295.7467721,319017.551792
2021,88395.8464814,309830.747426
2022,90934.0436136,301979.890945
2023,93043.9027494,295156.735205
2024,95021.9250704,288777.613585
2025,99307.0939939,284401.419976
2026,101837.853454,277525.018462
2027,104070.383967,271355.254729
2028,106160.711069,265606.719792
2029,109724.17419,260576.521032
2030,111526.63894,255658.268547
2031,114209.441797,249544.596225
