year,Base case cost,Modeled transmission and interties
2021,839410.880068,1392236.28222
2022,872742.67822,1417497.48866
2023,897712.248464,1434399.17713
2024,920633.959354,1449413.33688
2025,955880.237617,1477348.54245
2026,988803.765159,1501850.21466
2027,1017286.73985,1523144.29887
2028,1041620.31883,1539186.40232
2029,1074028.22174,1564852.13962
2030,1097402.12079,1582676.8361
2031,1133224.20701,1610977.69169
2032,1169573.30389,1641189.78083
2033,1206449.41144,1670860.51201
2034,1246126.48309,1704804.51242
2035,1274454.93305,1727280.29851
2036,1314403.64292,1761806.94728
2037,1345058.09675,1786976.00599
2038,1385244.28674,1822035.97522
2039,1426442.20708,1856963.65672
2040,1471465.83449,1897239.98746
