year,Base case cost,Modeled transmission and interties
2021,337065.697125,2383464.8166
2022,346155.109182,2363016.09642
2023,352972.168225,2339918.03262
2024,358274.325259,2316587.24857
2025,364333.933297,2295592.25426
2026,373021.831211,2276687.35292
2027,379845.401294,2256317.18748
2028,385152.62247,2235649.62737
2029,392350.215638,2217757.66075
2030,396903.603053,2197469.66966
2031,405637.801697,2181745.69595
2032,413993.636564,2166963.18399
2033,421991.364222,2152340.99997
2034,431115.501827,2138768.7383
2035,436437.915429,2122203.45362
2036,445224.925844,2110107.35581
2037,450552.403589,2094595.72174
2038,458924.154331,2083052.84701
2039,465773.768575,2069482.45563
2040,475667.655816,2059857.40148
