year,Base case cost,Modeled non-residential ashp
2017,299800.644409,367788.407255
2018,319626.535666,385134.036765
2019,347262.62651,409855.321818
2020,359879.102765,420480.992328
2021,368890.871518,427745.629031
2022,375499.501937,432778.580233
2023,379704.994022,435579.180945
2024,383910.486107,438406.840294
2025,388115.978192,441260.924087
2026,393523.039444,445270.842266
2027,398329.316113,448740.946135
2028,402534.808197,451670.645057
2029,407341.084866,455189.3915
2030,410345.007784,457036.563675
2031,416352.853619,461731.728562
