year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,22083.29,2015239.0,2015239.0
2004,,22083.29,2036059.0,2036059.0
2005,,22083.29,1982338.0,1982338.0
2006,,22083.29,1948064.0,1948064.0
2007,,22083.29,1906912.0,1906912.0
2008,,22083.29,1889757.0,1889757.0
2009,,22083.29,1950138.0,1950138.0
2010,,22083.29,2034398.0,2034398.0
2011,,22083.29,2088673.0,2088673.0
2012,,22083.29,1879404.0,1879404.0
2013,,22083.29,1830393.0,1830393.0
2014,,22083.29,1812726.0,1812726.0
2015,,22083.29,1806774.0,1806774.0
2016,start of forecast,22083.29,1920000.0,1920000.0
2017,,22083.29,1919000.0,1919000.0
2018,,22083.29,1919000.0,1919000.0
2019,,22083.29,1918000.0,1918000.0
2020,,22083.29,1918000.0,1918000.0
2021,,22083.29,1917000.0,1917000.0
2022,,22083.29,1917000.0,1917000.0
2023,,22083.29,1917000.0,1917000.0
2024,,22083.29,1916000.0,1916000.0
2025,,22083.29,1916000.0,1916000.0
2026,,22083.29,1916000.0,1916000.0
2027,,22083.29,1915000.0,1915000.0
2028,,22083.29,1915000.0,1915000.0
2029,,22083.29,1915000.0,1915000.0
2030,,22083.29,1915000.0,1915000.0
2031,,22083.29,1914000.0,1914000.0
2032,,22083.29,1914000.0,1914000.0
2033,,22083.29,1913000.0,1913000.0
2034,,22083.29,1912000.0,1912000.0
2035,,22083.29,1911000.0,1911000.0
2036,,22083.29,1911000.0,1911000.0
2037,,22083.29,1910000.0,1910000.0
2038,,22083.29,1909000.0,1909000.0
2039,,22083.29,1908000.0,1908000.0
2040,,22083.29,1908000.0,1908000.0
