year,Base case cost,Modeled non-residential ashp
2017,1412124.90381,1649316.32621
2018,1503453.82475,1728513.34797
2019,1628827.42524,1839146.37694
2020,1692669.07588,1893561.23558
2021,1743838.78637,1936515.7649
2022,1776345.97229,1962016.60414
2023,1808097.22263,1987421.05423
2024,1830865.79856,2004226.44022
2025,1859651.35904,2027156.54708
2026,1898936.98953,2059872.07002
2027,1928250.29078,2083537.87416
2028,1957758.83142,2107499.25495
2029,2000660.27692,2144404.94938
2030,2027198.86817,2165863.34378
2031,2064530.16881,2197388.02873
