year,Base case diesel consumed,Modeled solar power (pv)
2016,257656.127454,254293.803229
2017,257441.711814,254106.286183
2018,257155.824294,253847.082068
2019,256869.936774,253587.664485
2020,256655.521133,253399.507024
2021,256441.105493,253211.139496
2022,256155.217973,252951.091704
2023,255940.802333,252762.309074
2024,255726.386693,252573.32138
2025,255511.971053,252384.130263
2026,255297.555413,252194.737349
2027,255083.139773,252005.144254
2028,254797.252253,251743.880698
2029,254582.836613,251553.89203
2030,254368.420973,251363.707947
2031,254154.005333,251173.330011
2032,253939.589693,250982.759773
2033,253725.174053,250791.998773
2034,253439.286533,250529.576655
2035,253224.870893,250338.438694
