year,Base case cost,Modeled non-residential ashp
2017,363593.034168,457992.766769
2018,405708.05743,495345.833343
2019,464669.089998,549168.86323
2020,492745.772173,573034.723704
2021,512399.449696,588788.607248
2022,526437.790783,599159.513666
2023,536264.629545,605511.041555
2024,544687.634197,610572.278352
2025,554514.472958,617072.353766
2026,567148.979937,626374.99321
2027,576975.818699,633016.734588
2028,585398.823351,638361.382999
2029,596629.496221,646503.673124
2030,602244.832656,649249.367092
2031,614879.339635,658885.947233
