year,annotation,consumption,consumption residential,consumption non-residential
2003,,2484047.0,418085.0,2065962.0
2004,,2392660.0,390787.0,2001873.0
2005,,2334931.0,345310.0,1989621.0
2006,,2528304.0,307679.0,2220625.0
2007,,3394021.0,419439.0,2974582.0
2008,,3391648.0,417066.0,2974582.0
2009,,2792939.0,510790.0,2282149.0
2010,,2638949.0,435987.0,2202962.0
2011,,2377139.0,420450.0,1956689.0
2012,,3194389.0,451528.0,2742861.0
2013,,3514002.0,448387.0,3065615.0
2014,,3368470.0,451309.0,2917161.0
2015,,3467974.0,527004.0,2940970.0
2016,start of forecast,3400567.0,425985.0,2974582.0
2017,,3397020.0,422438.0,2974582.0
2018,,3393594.0,419012.0,2974582.0
2019,,3390256.0,415674.0,2974582.0
2020,,3387016.0,412434.0,2974582.0
2021,,3383770.0,409188.0,2974582.0
2022,,3380722.0,406140.0,2974582.0
2023,,3377732.0,403150.0,2974582.0
2024,,3374808.0,400226.0,2974582.0
2025,,3371878.0,397296.0,2974582.0
2026,,3368904.0,394322.0,2974582.0
2027,,3365864.0,391282.0,2974582.0
2028,,3362789.0,388207.0,2974582.0
2029,,3360049.0,385467.0,2974582.0
2030,,3357312.0,382730.0,2974582.0
2031,,3354448.0,379866.0,2974582.0
2032,,3351554.0,376972.0,2974582.0
2033,,3348265.0,373683.0,2974582.0
2034,,3344974.0,370392.0,2974582.0
2035,,3341785.0,367203.0,2974582.0
2036,,3338700.0,364118.0,2974582.0
2037,,3335739.0,361157.0,2974582.0
2038,,3332727.0,358145.0,2974582.0
2039,,3329579.0,354997.0,2974582.0
2040,,3326320.0,351738.0,2974582.0
