year,Base case cost,Modeled non-residential ashp
2017,947747.765381,1202675.61411
2018,1021572.57539,1273395.26181
2019,1112144.56937,1359684.27329
2020,1168256.44848,1413761.7357
2021,1204172.7463,1448286.06422
2022,1231924.14322,1475073.79007
2023,1264381.10845,1506781.23337
2024,1286226.27502,1527983.95255
2025,1308251.39634,1549366.6265
2026,1343926.79085,1584185.42451
2027,1377823.39415,1617332.50588
2028,1400613.3232,1639479.98755
2029,1435214.74931,1673331.89172
2030,1484404.4873,1721986.2569
2031,1531927.13148,1768652.30458
