year,Base case cost,Modeled transmission and interties
2021,1378020.70728,3063876.27033
2022,1412116.69386,3099891.39921
2023,1438205.49971,3127455.28262
2024,1459135.38901,3147396.52206
2025,1481128.17841,3170639.79778
2026,1509185.66009,3200314.90671
2027,1534966.37896,3227556.18409
2028,1556141.19741,3247763.63687
2029,1579303.17692,3274464.77156
2030,1592612.53465,3286446.71105
2031,1618072.84306,3313419.11598
2032,1645923.90646,3342870.36949
2033,1677525.92891,3374128.65072
2034,1709670.18444,3408103.48873
2035,1725567.47285,3424942.30927
2036,1755393.37383,3456506.15787
2037,1771090.40569,3473133.61598
2038,1801322.98149,3505114.71384
2039,1824477.25882,3527488.41121
2040,1858225.10711,3563184.86653
