year,Base case cost,Modeled transmission and interties
2021,509300.0,434595.14308
2022,526560.833333,450148.78472
2023,538914.166667,461280.305198
2024,548179.166667,469628.945556
2025,560835.0,481033.047114
2026,574740.0,493562.765861
2027,587416.666667,504985.640221
2028,596691.666667,513343.291524
2029,611262.5,526472.989012
2030,619333.333333,533745.572379
2031,635158.333333,548005.392527
2032,648751.666667,560254.27016
2033,664235.0,574206.216361
2034,679718.333333,588158.162562
2035,690556.666667,597924.524902
2036,706040.0,611876.471103
2037,715330.0,620247.638824
2038,731967.5,635239.598237
2039,744347.5,646395.147901
2040,762506.666667,662758.272748
