year,Base case cost,Modeled non-residential ashp
2017,40815.6359035,51959.250722
2018,45583.5634734,55151.8357236
2019,51940.8002332,59489.4477674
2020,55119.4186131,61552.8116729
2021,57238.497533,62861.4284452
2022,59004.396633,63921.7202406
2023,60063.9360929,64480.3007273
2024,60946.8856429,64916.9623486
2025,62183.0150129,65611.5002008
2026,63595.7342928,66437.1711227
2027,64655.2737528,67013.9640617
2028,65714.8132128,67595.0464933
2029,66950.9425827,68306.9530928
2030,67657.3022227,68643.0448361
2031,69070.0215027,69489.672327
