year,Base case cost,"Brevig mission (teller, main stem bluestone river)",Nome (tuksuk channel)
2021,225435.76737,1327106.91617,483278164.512
2022,231924.814399,1306304.50093,473751251.931
2023,237041.90959,1285436.46219,464462750.852
2024,240782.300224,1264484.89544,455407463.877
2025,244945.682937,1244118.72533,446554714.877
2026,250782.815207,1225203.52581,437891668.259
2027,255241.658679,1206165.5874,429446978.231
2028,259013.734112,1187311.82665,421207478.699
2029,263887.648464,1169301.24193,413142941.786
2030,267673.189937,1151422.78991,405283215.009
2031,273560.225767,1134991.98157,397581414.227
2032,278761.285678,1118701.04496,390066998.912
2033,284350.484389,1102868.1842,382718578.252
2034,290268.412898,1087796.26272,375541133.316
2035,294465.064651,1072170.4307,368546884.878
2036,300400.419801,1057950.20075,361698845.786
2037,304245.370274,1043160.02361,355035049.591
2038,309853.579865,1029408.26544,348500812.758
2039,315116.425135,1016067.66498,342126930.533
2040,321795.580964,1003772.96977,335884206.718
2041,321795.580964,988519.009229,329861565.766
2042,322158.371923,973985.353991,323980443.111
2043,322158.371923,959438.044043,318236805.293
2044,322521.162883,945594.477503,312628146.726
2045,322883.953842,932083.872724,307150949.698
2046,322883.953842,918535.63411,301801769.956
2047,323246.744801,905667.723812,296578324.608
2048,323246.744801,892747.116776,291476949.338
2049,323609.535761,880492.127233,286495500.266
2050,323609.535761,868170.07632,281630449.759
