year,annotation,diesel generation efficiency
2002,,11.42
2003,,10.46
2004,,10.36
2005,,10.64
2006,,10.77
2007,,10.73
2008,,11.3
2009,,11.76
2010,,11.9
2011,,11.38
2012,,11.92
2013,,11.9
2014,,11.38
2015,,11.98
2016,start of forecast,11.75
2017,,11.75
2018,,11.75
2019,,11.75
2020,,11.75
2021,,11.75
2022,,11.75
2023,,11.75
2024,,11.75
2025,,11.75
2026,,11.75
2027,,11.75
2028,,11.75
2029,,11.75
2030,,11.75
2031,,11.75
2032,,11.75
2033,,11.75
2034,,11.75
2035,,11.75
2036,,11.75
2037,,11.75
2038,,11.75
2039,,11.75
2040,,11.75
