year,Base case cost,Point hope wind turbine design,Modeled wind power
2017,994078.17455,966835.204597,
2018,1090590.4614,1023653.44154,
2019,1228442.93919,1108265.79514,1467687.43592
2020,1276609.98039,1129529.39886,1477740.75361
2021,1304275.08631,1136112.11046,1474047.50999
2022,1316921.7697,1132354.96439,1460796.67032
2023,1318616.33196,1121181.85147,1440760.16476
2024,1315790.33348,1106742.39293,1417788.30812
2025,1316343.73928,1094654.67991,1397199.98968
2026,1318842.4896,1083482.02932,1377554.32557
2027,1316339.20317,1068553.68541,1354471.35764
2028,1309516.88903,1050550.15508,1328627.58613
2029,1311966.39012,1039641.05692,1309746.3672
2030,1303807.21864,1021641.48589,1284376.22548
2031,1302417.872,1007090.04649,1262167.33333
2032,1298709.92353,989175.224067,1236599.43249
2033,1293460.99263,969812.009613,1209731.40564
2034,1286952.31831,949279.472335,1181838.84747
2035,1271624.14406,923434.517757,1149217.62021
2036,1264359.8829,902320.926422,1121023.48926
2037,1249062.81342,,1088876.74004
2038,1239931.6177,,1059248.65628
