year,Base case cost,Modeled residential ashp
2017,302026.365682,212348.402534
2018,336903.455743,231109.892602
2019,381380.771705,252803.084436
2020,398827.867429,259691.683612
2021,415243.802599,268327.673958
2022,421490.83032,269017.598233
2023,424009.517287,267646.312787
2024,419515.899436,259818.432869
2025,421523.031241,257935.592262
2026,425484.1074,256895.27532
2027,427039.867004,254561.062511
2028,427332.785369,251519.718809
2029,417057.610607,236798.86129
2030,409480.616972,226443.315932
2031,405390.231325,217351.537184
