year,Base case cost,Modeled transmission and interties
2021,280974.04284,880063.013726
2022,290662.802938,890144.387717
2023,297679.883612,896808.837592
2024,302766.865316,903483.422411
2025,309559.711653,909908.977168
2026,317573.219314,918436.08504
2027,324627.034624,926056.839313
2028,329746.159134,931848.960044
2029,338324.461815,940976.925335
2030,343738.228713,946160.225477
2031,352101.480715,955058.70667
2032,360207.59027,964610.167853
2033,369017.015032,972943.263933
2034,378121.847487,982515.718929
2035,384299.388681,989320.610177
2036,393736.363465,999245.616453
2037,399267.222014,1005478.60727
2038,408753.176312,1016387.42708
2039,416956.479589,1024184.81895
2040,427144.98379,1034793.21005
