year,Base case cost,Modeled non-residential ashp
2017,391383.145471,525823.260082
2018,419740.173353,556018.079022
2019,458022.160995,597442.632425
2020,475745.303422,615732.144804
2021,487797.040272,627667.987939
2022,497013.074334,636445.866559
2023,503393.405607,642064.874387
2024,509064.811184,646921.600957
2025,514736.21676,651814.340158
2026,522534.399428,659139.722522
2027,528914.730702,664901.132828
2028,533877.210581,669097.766125
2029,540966.467552,675724.627295
2030,545220.021734,679186.841339
2031,553018.204402,686676.082326
