year,Base case cost,Modeled non-residential ashp
2017,1313969.18713,1590529.43742
2018,1403555.41485,1668461.23033
2019,1527980.73113,1778919.84433
2020,1587704.88295,1829329.09071
2021,1627520.98416,1861344.03523
2022,1657383.06007,1884219.18039
2023,1679779.617,1900266.10256
2024,1697199.16128,1911796.44257
2025,1717107.21188,1925750.56591
2026,1741992.27514,1944440.23804
2027,1764388.83207,1960919.96151
2028,1781808.37635,1972872.95905
2029,1804204.93328,1989554.16464
2030,1819135.97123,1999389.59131
2031,1844021.03449,2018577.27602
