year,Base case cost,Chikuminuk lake
2021,13802236.3101,18573133.1776
2022,14195836.0515,18259693.6379
2023,14493191.4804,17947401.6364
2024,14727893.9011,17639928.8914
2025,14995196.6854,17343159.5193
2026,15327127.1052,17059210.1667
2027,15634021.2465,16787419.0383
2028,15870054.8359,16511513.9489
2029,16172306.9344,16249494.6123
2030,16379280.9964,15988333.1239
2031,16714554.9348,15743354.6059
2032,17081732.8215,15507185.2905
2033,17415399.9268,15273709.2297
2034,17781285.0928,15049049.2473
2035,18023020.582,14825324.9265
2036,18394855.7456,14618823.9252
2037,18640068.9583,14410500.1675
2038,19017456.5825,14221195.0257
2039,19326699.6744,14028817.4183
2040,19733997.0329,13850798.9179
2041,19762760.433,13656329.4413
2042,19801259.1376,13476827.2847
2043,19825154.8853,13287831.5779
2044,19846395.55,13101170.4297
2045,19868521.2423,12920267.0116
2046,19892416.99,12745892.135
2047,19915870.2239,12575721.72
2048,19938438.4301,12409204.3265
2049,19984017.3563,12270129.3439
2050,20008355.6178,12114141.528
