year,Base case cost,Modeled residential ashp
2017,138908.126037,188401.14211
2018,155146.684714,194964.761696
2019,177671.423391,204781.24901
2020,188669.722068,208746.558171
2021,196004.182068,210879.922172
2022,201763.120745,212244.099844
2023,202368.79397,209260.460006
2024,205457.35397,209308.126077
2025,209571.362647,209904.163833
2026,214204.112647,210797.202335
2027,218317.871323,211461.027251
2028,221406.311323,211644.685939
2029,226038.971323,212636.134931
2030,228608.23,212620.139392
2031,233755.53,213931.945284
