year,Base case cost,Modeled transmission and interties
2021,882393.913157,2631866.91079
2022,905924.417508,2656593.91427
2023,924748.820989,2676375.51705
2024,938867.123599,2690033.19653
2025,955338.476645,2707342.09897
2026,976515.930561,2729596.4021
2027,992987.283606,2746905.30453
2028,1007105.58622,2761741.50662
2029,1025929.9897,2781523.1094
2030,1037695.24187,2793886.61114
2031,1058872.69579,2816140.91428
2032,1080050.1497,2837216.6948
2033,1101227.60362,2859470.99793
2034,1124758.10797,2883019.4788
2035,1138876.41058,2897855.68089
2036,1160053.8645,2921288.50663
2037,1174172.16711,2934946.18611
2038,1197702.67146,2959673.18959
2039,1214953.84083,2977813.14248
2040,1240854.01961,3003851.03608
