year,Base case cost,Modeled residential ashp
2017,304808.059923,595020.747331
2018,334838.77103,620323.822646
2019,375444.630517,656399.593547
2020,398009.939956,674389.815784
2021,409247.94446,681119.549655
2022,424456.091074,691905.457073
2023,437208.361921,700318.992816
2024,449456.540835,708325.824767
2025,462575.068378,717308.884652
2026,476595.337981,727297.212092
2027,490101.051173,736861.308576
2028,503060.814525,745967.535903
2029,517677.559317,756832.985364
2030,529482.636124,764954.162448
2031,545241.805948,777143.794077
