year,Base case cost,Modeled non-residential ashp
2017,225306.374266,258193.999316
2018,239668.096255,272722.764633
2019,258543.502298,292141.372589
2020,267570.870405,300962.174879
2021,273315.559201,306264.48454
2022,277829.243254,310260.245495
2023,280701.587652,312506.478265
2024,283163.597136,314330.171644
2025,286446.276448,317058.325643
2026,289728.955759,319805.505253
2027,293011.635071,322571.26457
2028,295473.644555,324470.189737
2029,298756.323867,327271.812275
2030,300807.998436,328763.270926
2031,304501.012662,332041.584497
