year,Base case cost,St. mary's-pitka's point wind energy construction project,Modeled wind power
2017,672869.060059,1046382.27558,
2018,752455.723076,1111207.82893,
2019,863666.215659,1205510.32547,997742.803411
2020,914615.634579,1244277.64119,1023629.18544
2021,950814.142544,1269576.42086,1039805.6044
2022,977666.867696,1286445.20951,1050055.5791
2023,994877.275014,1294582.97639,1054078.23897
2024,1012098.29995,1302914.30686,1058287.94546
2025,1029329.94251,1311434.9136,1062680.56395
2026,1051076.34975,1324282.77731,1070139.03413
2027,1070742.46142,1335401.71711,1076490.10606
2028,1088002.92324,1344462.38512,1081404.57413
2029,1107692.54536,1355933.71333,1088096.31903
2030,1120136.39868,1360860.92199,1090121.07707
2031,1144329.40945,1376787.30184,1100001.51074
2032,1166468.66871,1390992.2495,1108782.71656
2033,1191042.39708,1407598.45935,1119332.3251
2034,1215631.29348,1424364.15673,1130036.28017
2035,1230546.01918,1432320.5785,1134436.31947
2036,1255162.21804,1449392.14859,1145436.22389
2037,1270098.17898,,1150119.849
2038,1294741.6803,,1161403.25762
