year,Base case cost,Modeled transmission and interties
2021,1929506.85973,4237832.03859
2022,1983437.51133,4270776.53734
2023,2018835.88102,4288044.06879
2024,2050101.03847,4296732.7313
2025,2085832.64698,4311072.29974
2026,2131213.17078,4341513.02187
2027,2171789.50146,4362530.77465
2028,2203810.45058,4374516.81822
2029,2244419.05439,4396714.97405
2030,2271244.78014,4403921.84809
2031,2316343.10169,4436854.8292
2032,2361456.434,4470332.68151
2033,2410653.44304,4499721.20369
2034,2460263.24793,4539279.17189
2035,2491575.68927,4554110.1702
2036,2540780.95423,4589568.01277
2037,2571661.83627,4604834.67287
2038,2620419.0301,4640687.40416
2039,2656192.66874,4666978.90181
2040,2709398.30072,4713308.7264
