year,Base case cost,"Galena, alaska heat recovery study"
2019,3807228.23307,3395957.01135
2020,3974763.34163,3542210.0535
2021,4093368.76193,3644744.23035
2022,4177073.86668,3716725.26565
2023,4232829.50351,3764240.37652
2024,4281630.51272,3805695.07084
2025,4337403.81193,3853289.81145
2026,4407203.96144,3913215.58109
2027,4478322.99525,3975352.29298
2028,4527319.40713,4017120.6166
2029,4590237.15268,4071112.39921
2030,4632178.59585,4106743.65219
2031,4710814.14887,4175644.1304
2032,4780837.30283,4235958.14256
2033,4857853.516,4302427.67913
2034,4934863.55837,4368915.77655
2035,4983863.81917,4410869.68437
2036,5060845.91837,4477377.57653
2037,5109802.55441,4519334.47866
2038,5186761.58125,4585864.82488
