year,Base case cost,"Eagle (eagle village, american creek)"
2021,161045.389447,832225.590352
2022,166184.182161,822728.351557
2023,169702.16157,812235.838128
2024,172140.585386,801179.67863
2025,175639.325891,791283.846443
2026,180193.943336,782536.770001
2027,183670.485105,773206.127262
2028,186073.390945,763289.555657
2029,190061.592111,754928.600145
2030,192447.47892,745542.057279
2031,197218.904017,738396.402656
2032,201178.986785,730799.314192
2033,205368.065051,723580.790042
2034,210352.206573,717300.999096
2035,212689.256163,709124.918378
2036,217953.841711,703600.059389
2037,220801.810742,696296.116311
2038,225215.836195,690475.353446
2039,229092.303726,684437.512218
2040,234334.690539,679774.506631
2041,234003.929378,670768.059577
2042,233673.168216,661964.948707
2043,233673.168216,653691.170144
2044,233342.407055,645280.547032
2045,233342.407055,637390.056992
2046,233011.645894,629353.738816
2047,233011.645894,621828.781087
2048,232680.884733,614149.428201
2049,232680.884733,606973.068984
2050,232350.123572,599634.144729
