year,annotation,diesel generation efficiency
2002,,13.15
2003,,12.64
2004,,13.91
2005,,13.37
2006,,13.64
2007,,12.7
2008,,12.21
2009,,12.3
2010,,12.18
2011,,13.49
2012,,13.15
2013,,13.9
2016,start of forecast,13.51
2017,,13.51
2018,,13.51
2019,,13.51
2020,,13.51
2021,,13.51
2022,,13.51
2023,,13.51
2024,,13.51
2025,,13.51
2026,,13.51
2027,,13.51
2028,,13.51
2029,,13.51
2030,,13.51
2031,,13.51
2032,,13.51
2033,,13.51
2034,,13.51
2035,,13.51
2036,,13.51
2037,,13.51
2038,,13.51
2039,,13.51
2040,,13.51
