year,annotation,diesel generation efficiency
2002,,12.77
2003,,12.79
2004,,12.55
2005,,12.19
2006,,12.42
2007,,12.35
2008,,13.37
2009,,14.2
2010,,14.51
2011,,12.62
2012,,13.75
2013,,13.63
2016,start of forecast,13.33
2017,,13.33
2018,,13.33
2019,,13.33
2020,,13.33
2021,,13.33
2022,,13.33
2023,,13.33
2024,,13.33
2025,,13.33
2026,,13.33
2027,,13.33
2028,,13.33
2029,,13.33
2030,,13.33
2031,,13.33
2032,,13.33
2033,,13.33
2034,,13.33
2035,,13.33
2036,,13.33
2037,,13.33
2038,,13.33
2039,,13.33
2040,,13.33
