year,annotation,consumption,consumption residential,consumption non-residential
2003,,1598143.0,669214.0,928929.0
2004,,1371002.0,688782.0,682220.0
2005,,1410097.0,692560.0,717537.0
2006,,1466402.0,672350.0,794052.0
2007,,1474714.0,675384.0,799330.0
2008,,1609564.0,704124.0,905440.0
2009,,1640952.0,708239.0,932713.0
2010,,1711010.0,698257.0,1012753.0
2011,,1834960.0,745039.0,1089921.0
2012,,1942199.0,794968.0,1147231.0
2013,,1880259.0,761589.0,1118670.0
2014,start of forecast,1918942.0,800334.0,1118607.0
2015,,1943780.0,825173.0,1118607.0
2016,,1969384.0,850777.0,1118607.0
2017,,1995787.0,877180.0,1118607.0
2018,,2023029.0,904422.0,1118607.0
2019,,2051104.0,932497.0,1118607.0
2020,,2079912.0,961305.0,1118607.0
2021,,2109454.0,990847.0,1118607.0
2022,,2139864.0,1021257.0,1118607.0
2023,,2171125.0,1052518.0,1118607.0
2024,,2203207.0,1084599.0,1118607.0
2025,,2235960.0,1117353.0,1118607.0
2026,,2269071.0,1150464.0,1118607.0
2027,,2302683.0,1184076.0,1118607.0
2028,,2336777.0,1218169.0,1118607.0
2029,,2371805.0,1253198.0,1118607.0
2030,,2407354.0,1288746.0,1118607.0
2031,,2443419.0,1324812.0,1118607.0
2032,,2479779.0,1361171.0,1118607.0
2033,,2516705.0,1398098.0,1118607.0
2034,,2554235.0,1435628.0,1118607.0
2035,,2592507.0,1473900.0,1118607.0
2036,,2631617.0,1513010.0,1118607.0
2037,,2671541.0,1552934.0,1118607.0
2038,,2712148.0,1593541.0,1118607.0
2039,,2753326.0,1634718.0,1118607.0
2040,,2795091.0,1676483.0,1118607.0
