year,Base case cost,Modeled residential ashp
2017,92146.3731633,214322.18045
2018,94639.4442981,214039.338888
2019,105746.795079,222117.390915
2020,111450.569805,225375.983781
2021,115052.953842,226786.803966
2022,110398.316598,220043.443199
2023,112082.689702,219800.825505
2024,113767.062807,219599.160024
2025,115451.435912,219437.486932
2026,109534.427483,211653.588542
2027,111363.240705,211683.600945
2028,112930.794896,211519.549553
2029,106207.372504,203070.945022
2030,107416.318568,202650.128168
2031,109350.63227,202899.518568
