year,Base case cost,Modeled residential ashp
2017,14306.5121184,149932.506693
2018,15236.9882085,153202.446428
2019,16516.3928325,158409.994971
2020,17127.0177667,160024.863155
2021,17534.1010561,160573.777039
2022,17853.9522121,160687.722293
2023,18057.4938569,160207.805343
2024,18231.9581238,159607.07475
2025,18464.5771463,159358.600247
2026,18726.2735467,159303.550962
2027,18929.8151914,158967.155349
2028,19104.2794583,158506.582321
2029,19365.9758587,158552.960774
2030,19511.3627477,157999.655143
2031,19773.0591481,158109.751957
