year,Base case cost,Modeled non-residential ashp
2017,662975.325841,693322.93455
2018,712872.353524,739390.0353
2019,774719.834941,795934.540962
2020,810217.150239,828927.673264
2021,829262.887196,846353.056518
2022,851406.223824,867170.649208
2023,863620.353514,878353.644723
2024,872344.731864,886341.498663
2025,889616.457497,902729.395003
2026,903683.023158,915617.521608
2027,914232.947404,925283.616561
2028,923024.550942,933338.695689
2029,935332.795895,944615.806468
2030,944124.399433,952670.885596
2031,956432.644387,963947.996374
