year,Base case cost,Modeled transmission and interties
2021,211519.185973,1199849.2672
2022,218796.476759,1195319.5838
2023,224421.279291,1189356.62832
2024,229793.072565,1182881.17882
2025,236087.281061,1177768.51952
2026,243081.918453,1173619.43074
2027,249244.451831,1169575.48175
2028,254872.011957,1164618.36588
2029,261772.201752,1161321.26237
2030,266913.046522,1156418.92213
2031,274570.195894,1154500.18768
2032,282314.209478,1153616.0208
2033,289825.895762,1152027.21621
2034,298062.829289,1152274.36756
2035,304158.49101,1149742.97617
2036,312876.624705,1150279.23614
2037,319788.534275,1149242.24698
2038,328735.548279,1151335.94254
2039,335771.549582,1151494.38348
2040,346605.447338,1155457.58741
