year,annotation,diesel generation efficiency
2002,,13.53
2003,,11.82
2004,,3.12
2005,,0.0
2006,,0.0
2007,,11.76
2008,,12.15
2009,,12.16
2010,,14.1
2011,,15.06
2012,,14.33
2013,,14.12
2014,start of forecast,14.51
2015,,14.51
2016,,14.51
2017,,14.51
2018,,14.51
2019,,14.51
2020,,14.51
2021,,14.51
2022,,14.51
2023,,14.51
2024,,14.51
2025,,14.51
2026,,14.51
2027,,14.51
2028,,14.51
2029,,14.51
2030,,14.51
2031,,14.51
2032,,14.51
2033,,14.51
2034,,14.51
2035,,14.51
2036,,14.51
2037,,14.51
2038,,14.51
2039,,14.51
2040,,14.51
