year,Base case cost,Modeled non-residential ashp
2017,643999.347741,726994.929009
2018,690723.357281,770757.176026
2019,754348.986822,830821.468175
2020,793695.960009,867846.62571
2021,819152.989549,891327.015752
2022,839335.769545,909772.501453
2023,855507.799542,924393.334286
2024,870360.418322,937775.054411
2025,886760.03695,952678.289883
2026,906220.17649,970563.360503
2027,929831.989829,992731.065393
2028,945322.379065,1006855.13481
2029,963906.138453,1023992.07227
2030,978177.71769,1036998.58283
2031,998540.286469,1055909.30673
