year,Base case cost,Modeled non-residential ashp
2017,252733.345141,299483.317683
2018,278416.465141,325374.826864
2019,314800.885141,362376.571046
2020,331922.965141,379427.520223
2021,344051.105141,391318.057005
2022,346391.98056,393332.829681
2023,352686.76056,399212.632986
2024,357582.70056,403656.594209
2025,363877.48056,409566.511319
2026,371571.10056,416942.035603
2027,377865.88056,422880.671472
2028,383461.24056,428107.625138
2029,382634.273418,426978.020971
2030,386746.733418,430696.583547
2031,394286.243418,437985.694846
