year,annotation,diesel generation efficiency
2002,,11.47
2003,,12.28
2004,,2.36
2005,,12.15
2006,,12.37
2007,,12.35
2008,,12.5
2009,,12.72
2010,,13.52
2011,,12.16
2012,,12.35
2013,,12.38
2014,start of forecast,12.3
2015,,12.3
2016,,12.3
2017,,12.3
2018,,12.3
2019,,12.3
2020,,12.3
2021,,12.3
2022,,12.3
2023,,12.3
2024,,12.3
2025,,12.3
2026,,12.3
2027,,12.3
2028,,12.3
2029,,12.3
2030,,12.3
2031,,12.3
2032,,12.3
2033,,12.3
2034,,12.3
2035,,12.3
2036,,12.3
2037,,12.3
2038,,12.3
2039,,12.3
2040,,12.3
