year,Base case cost,Modeled transmission and interties
2021,359015.140416,974773.222412
2022,374022.834584,982225.70214
2023,385346.876271,985867.556299
2024,395812.808771,988779.649902
2025,412275.204467,998472.591533
2026,427244.583822,1005490.98636
2027,440325.327734,1011822.05844
2028,451497.194277,1015038.93866
2029,466374.581804,1023673.88917
2030,477398.249369,1029546.49643
2031,493816.908059,1038957.11679
2032,510499.072083,1050063.55339
2033,527444.741441,1060332.1284
2034,545790.892851,1073556.86315
2035,558960.194888,1081309.82429
2036,577442.165405,1094986.01172
2037,591774.469377,1104304.80786
2038,610375.179952,1118399.6656
2039,629647.576196,1131992.26633
2040,650501.184993,1148793.6056
