year,annotation,consumption kWh,residential kWh,non-residential kWh
2003,,867282.0,457764.0,409518.0
2004,,877768.0,448569.0,429199.0
2005,,821409.0,441731.0,379678.0
2006,,848703.0,451351.0,397352.0
2007,,849168.0,468424.0,380744.0
2008,,944232.0,499384.0,444848.0
2009,,978962.0,520170.0,458792.0
2010,,944777.0,532111.0,412666.0
2011,,787684.0,507452.0,280232.0
2012,,926864.0,542477.0,384387.0
2013,,1055295.0,614362.0,440933.0
2014,start of forecast,947923.0,579406.0,368517.0
2015,,955762.0,587245.0,368517.0
2016,,965192.0,596674.0,368517.0
2017,,978801.0,610284.0,368517.0
2018,,989563.0,621046.0,368517.0
2019,,1004485.0,635968.0,368517.0
2020,,1015319.0,646802.0,368517.0
2021,,1027505.0,658988.0,368517.0
2022,,1040055.0,671538.0,368517.0
2023,,1050122.0,681605.0,368517.0
2024,,1060485.0,691967.0,368517.0
2025,,1081560.0,713043.0,368517.0
2026,,1093668.0,725151.0,368517.0
2027,,1106254.0,737737.0,368517.0
2028,,1116732.0,748215.0,368517.0
2029,,1129454.0,760937.0,368517.0
2030,,1143510.0,774993.0,368517.0
2031,,1156513.0,787996.0,368517.0
2032,,1169797.0,801280.0,368517.0
2033,,1183004.0,814487.0,368517.0
2034,,1198049.0,829531.0,368517.0
2035,,1209718.0,841201.0,368517.0
2036,,1224497.0,855979.0,368517.0
2037,,1237657.0,869140.0,368517.0
2038,,1251255.0,882738.0,368517.0
2039,,1268140.0,899622.0,368517.0
2040,,1282602.0,914084.0,368517.0
