year,Base case cost,Modeled transmission and interties
2021,559551.252597,1439382.29375
2022,584425.152876,1462814.31402
2023,603867.536827,1480141.47625
2024,622249.920948,1494984.68079
2025,642571.468616,1512308.40393
2026,665464.03408,1534723.69594
2027,686745.514164,1555559.99943
2028,708657.418962,1576205.59968
2029,731202.607542,1599256.0448
2030,750815.106099,1617532.80225
2031,777649.612944,1644163.5037
2032,803092.467954,1673274.42196
2033,829848.350401,1700105.89479
2034,857989.451777,1730960.55169
2035,881546.036016,1757635.25907
2036,913155.188087,1791178.81557
2037,935764.70572,1816892.62879
2038,965960.762938,1851297.29762
2039,994670.104278,1884867.05952
2040,1029264.83915,1925198.80654
