year,Base case diesel consumed,Modeled solar power (pv)
2016,227413.231686,223493.040342
2017,228686.206641,224797.376828
2018,228910.84928,225053.130106
2019,229959.181596,226132.324175
2020,230483.347754,226687.105193
2021,230932.633032,227166.760411
2022,231456.79919,227721.05355
2023,231980.965348,228275.105673
2024,232505.131506,228828.918709
2025,232954.416785,229307.613689
2026,232430.250627,228812.621956
2027,232580.012386,228991.324745
2028,232729.774146,229169.796006
2029,233104.178544,229572.680229
2030,233478.582943,229975.336614
2031,232879.535905,229404.315547
2032,232954.416785,229506.99819
2033,232879.535905,229459.696659
2034,232954.416785,229561.936253
2035,233553.463822,230188.123134
