year,Base case cost,Modeled residential ashp
2017,114594.608422,182766.14269
2018,121566.790816,190553.950212
2019,137252.520382,207327.179949
2020,141640.083058,212204.117702
2021,144808.878325,215726.350524
2022,147002.659663,218164.8194
2023,148465.180555,219790.465318
2024,156652.151851,228113.374135
2025,158437.85804,230089.392855
2026,160223.564229,232065.411574
2027,161754.169535,233759.141905
2028,170548.011183,242716.108579
2029,172413.149188,244771.559114
2030,173478.942333,245946.102276
2031,175344.080338,248001.552811
