year,Base case diesel consumed,Modeled wind power,Marshall wind energy final design and permitting project
2019,129439.846588,91745.7659587,68988.9927119
2020,130476.550165,92782.4695355,70025.6962887
2021,131587.303998,93893.2233678,71136.450121
2022,132624.007574,94929.9269445,72173.1536978
2023,133734.761407,96040.6807768,73283.90753
2024,134919.565494,97225.4848646,74468.7116178
2025,136030.319327,98336.2386969,75579.4654501
2026,137215.123414,99521.0427846,76764.2695378
2027,138473.977758,100779.897128,78023.1238811
2028,139658.781845,101964.701216,79207.9279689
2029,140917.636189,103223.555559,80466.7823121
2030,142176.490532,104482.409902,81725.6366554
2031,143509.395131,105815.314501,83058.5412541
2032,144842.299729,107148.2191,84391.4458528
2033,146175.204328,108481.123698,85724.3504516
2034,147582.159182,109888.078553,87131.3053058
2035,148915.063781,111220.983151,88464.2099045
2036,150396.068891,112701.988261,89945.2150143
2037,151803.023745,114108.943115,91352.1698685
2038,153284.028855,115589.948225,92833.1749782
