year,Base case cost,Modeled non-residential ashp
2017,208022.897169,285297.742737
2018,228651.060047,303416.123861
2019,257137.570689,328436.745413
2020,270889.679275,340515.666162
2021,280221.467243,348712.07667
2022,287588.668271,355182.927072
2023,292500.135623,359496.827339
2024,296429.309505,362947.947553
2025,301340.776857,367261.847821
2026,307725.684415,372869.918169
2027,312637.151767,377183.818437
2028,317057.472384,381066.328677
2029,322460.086471,385811.618972
2030,325898.113617,388831.349159
2031,332283.021175,394439.419507
