year,Base case cost,Modeled residential ashp
2017,104429.091534,578586.771103
2018,113572.809831,541566.656017
2019,126315.734528,495408.49754
2020,130328.760805,465563.341027
2021,130201.88762,438903.213639
2022,132576.553611,418521.486066
2023,131843.81138,399984.531208
2024,133107.152515,384848.032159
2025,131357.676102,365736.220866
2026,128403.931769,343271.716369
2027,124878.883892,321624.92773
2028,121418.548229,302607.804573
2029,118363.890522,281833.292146
2030,115215.575913,264701.470916
2031,111391.041046,241178.721455
