year,Base case diesel consumed,Modeled solar power (pv)
2016,52322.6457963,51531.5345593
2017,52002.6296141,51217.847267
2018,51682.6134318,50904.1093435
2019,51442.6012951,50670.3252396
2020,51122.5851129,50356.4872658
2021,50882.5729762,50122.6039119
2022,50642.5608395,49888.6715277
2023,50402.5487029,49654.6905055
2024,50162.5365662,49420.6612344
2025,49922.5244295,49186.5841004
2026,49522.5042017,48792.4513952
2027,49282.492065,48558.279681
2028,49042.4799283,48324.0612434
2029,48722.4637461,48009.7924106
2030,48242.4394727,47535.4695079
2031,47922.4232905,47221.1090854
2032,47602.4071083,46906.7034168
2033,47282.390926,46592.2528641
2034,47042.3787893,46357.7618319
2035,46642.3585615,45963.2185398
