year,Base case cost,Modeled non-residential ashp
2017,452342.910595,529965.708954
2018,491023.894909,560585.666381
2019,544531.479223,603681.747269
2020,569558.743537,622633.31266
2021,587968.423537,636675.131844
2022,598708.727852,643560.431658
2023,603172.072166,645158.45753
2024,607495.01648,646649.654194
2025,611677.560794,648033.23485
2026,618670.985109,651782.056338
2027,624013.269423,654149.830449
2028,627739.513737,655170.924424
2029,632765.898051,657283.147858
2030,634770.802365,656880.664111
2031,640910.12668,659924.553758
