year,Base case cost,Modeled non-residential ashp
2017,232624.914143,269104.796903
2018,251013.692558,284545.80807
2019,276954.621766,306534.495168
2020,289213.990974,316693.111376
2021,297699.000182,323595.699017
2022,303831.490182,328473.436523
2023,308070.52939,331721.679014
2024,311844.28939,334577.947179
2025,322937.979012,344700.27612
2026,328232.50822,348905.879101
2027,333051.80822,352708.882431
2028,336425.31822,355265.453951
2029,341726.54822,359504.59262
2030,344618.12822,361659.968439
2031,349919.35822,365915.965181
