year,Base case cost,Modeled transmission and interties
2021,423731.719419,2177744.59384
2022,435031.231937,2164166.76499
2023,444070.841951,2148674.61419
2024,450850.549462,2130102.27777
2025,458760.208224,2114531.97081
2026,468929.76949,2102062.9512
2027,476839.428253,2087623.98632
2028,483619.135764,2072466.42986
2029,492658.745778,2060370.8513
2030,498627.113611,2045371.41734
2031,508803.177154,2035576.51915
2032,518979.240697,2025125.88481
2033,529155.30424,2016312.26938
2034,540462.04151,2008085.18197
2035,547246.083872,1996411.60216
2036,557422.147415,1990137.53378
2037,564206.189777,1978204.23009
2038,575512.927047,1972914.78323
2039,583800.440353,1964678.16094
2040,596245.798577,1960341.11746
